word_fr;word_en;phrase_fr;phrase_en
trahison;betrayal, treachery, treason; c'était rien, juste une petite trahison ; it was nothing, just a little bit of treason 
débit;debit, turnover, delivery, rate; le débit était aussi rapide qu'avant ; turnover was as rapid as it was previously 
sursis;reprieve, deferment; une peine d'emprisonnement avec sursis ne suffirait pas ; jail time with remission of sentence would not be enough
simultanément;simultaneously; je répondrai donc aux deux questions simultanément ; so I will answer both questions at the same time
techniquement;technically; je ne te connais pas ... techniquement ; I don't know you ... technically 
os;bone; je jette un os à un chien ; I toss a bone to a dog 
cote;rating, share index, quoted value;l'or a dépassé la cote des $ 380;gold rose above a quoted value of $380
dictionnaire;dictionary; nous avons développé un dictionnaire assez élaboré ; we have developed quite an elaborate dictionary
symptôme;symptom; les symptômes se sont nettement aggravés ; the symptoms got much worse 
délibérément;deliberately; il marcha délibérément vers la porte ; he strode deliberately towards the door 
écoute;listening; il faut se tenir à l'écoute de tout ce qui se passe ; you have to keep informed about everything that happens
contingent;contingent, draft, quota; c'est le plus fort contingent d'étudiants étrangers ; that's the strongest contingent of foreign students
émerger;to emerge, rise up, come out; cette façon de penser émerge presque partout ; this kind of thinking is emerging almost everywhere
instruire;to teach, educate, inform; ils sauront l'instruire sur leurs anciennes pratiques ; they know how to teach him their ancient practices
équité;equity, fairly; il faudra renforcer l'équité en matière d'emploi ; it will be necessary to strengthen equity in the workplace
inconscient;unconscious, thoughtless;après cela, je suis resté inconscient pendant 24 heures;afterwards, I was unconscious for 24 hours
chaleureux;warm; c'était quand même un accueil très chaleureux ; yet it was a very warm welcome 
déguiser;to disguise; je me déguise en quelqu'un d'autre ; I'm disguised as somebody else 
fièvre;fever; vous êtes brûlante de fièvre ; you're burning up with fever 
vitre;pane, window; derrière la vitre, il l'observait, il la jugeait ; from behind the windowpane he watched her, he judged her
fantastique;fantastic, terrific, great, weird, eerie; ils ont fait un travail fantastique ; they did a fantastic job 
courbe;curve, curved; la courbe qu'il spécifie est une spirale ; the curve that it describes is a spiral 
soustraire;to substract, remove, shield, escape from; nul homme ne peut se soustraire au terme de sa vie ; no man can escape from the endpoint of his life
instable;unstable; je regardai avec effroi ces êtres instables ; I watched with fear these unstable beings 
vapeur;vapor, steam, steamship; j'aperçus au loin une vapeur bleuâtre ; I noticed a blueish vapor in the distance 
beurre;butter; j'aurais appris à faire du beurre, du fromage ; I would have learned to make butter and cheese 
monument;monument; ce devait être un monument aux morts ; it must have been a monument to the dead 
oral;oral; ces histoires constituent le folklore oral moderne ; these stories comprise modern oral folklore
téléviser;to televise; la concurrence des journaux télévisés est indéniable ; competition among TV newscasts is undeniable
consolider;to strengthen, reinforce; la société consolide sa position en matière de propriété intellectuelle ; the company is solidifying its position on intellectual property
muet;mute, silent, dumb; j'ai un fils aussi muet qu'une carpe ; I have a son as mute as a carp 
contrevenant;offender, offending; cela évite au contrevenant d'aller en prison ; this prevents the offender from having to go to prison
offensive;offensive, offence; la seule défense est une bonne offensive ; the only defence is a good offence 
routine;routine; les routines, très vite, reprirent leurs droits ; routines quickly gained the upper hand 
coder;to code, encode; chaque langue code une culture déterminée ; each language encodes a particular culture 
gel;frost, freezing, gel; ils ont besoin d'un gel des frais de scolarité ; they need a freeze in tuition 
rénovation;renovation, restoration; les travaux de transformation et de rénovation iront également bon train ; transformation and renovation work will proceed together at a good pace
controverse;controversy; il y a beaucoup de controverses au sujet des châtiments corporels ; there are many controversies about corporal punishment
médiocre;mediocre, second-rate; pire encore, il est médiocre et inefficace ; even worse, he is mediocre and inefficient 
filial;"filial; branch office"; il fallait créer une entreprise filiale ; it was necessary to create a subsidiary company 
relais;shift, relay; les paroles avaient pris le relais de ses larmes ; words took over from his tears 
opposant;opponent, opposing; mais les opposants sont sceptiques ; but the opponents are sceptical 
aval;downstream, downhill; on parle des avantages en aval ; we're talking about downstream benefits 
rubrique;column, heading, rubric; l'émission propose également de nombreuses rubriques ; the broadcast also offers several categories
préfet;prefect; le préfet ne fera rien pour nous ; the police commissioner will do nothing for us 
provocation;provocation; c'est de la provocation indue, non souhaitable et injustifiée ; it's undeserved, undesirable and unjustified provocation
sommaire;summary, brief, cursory; l'examen est certes assez sommaire ; the examination is certainly rather cursory 
versant;hillside, mountainside; voilà succinctement résumé un versant de sa nature ; there, briefly put, is one side of his nature
réticence;reluctance, hesitation; je ne ressens pas de réticence de la part des auteurs français ; I don't sense any reluctance on behalf of French authors
grossesse;pregnancy; elle m'avait annoncé sa grossesse ; she told me she was pregnant 
égyptien;Egyptian; nous avons mangé de la cuisine égyptienne ; we ate Egyptian food 
timbre;to stamp; je regarde un peu mes timbres ; I'm just looking over my stamps 
découper;to carve, cut,; je ne découpe pas les articles ; I don't cut out articles 
distributeur;distributor, machine; les distributeurs quittaient la salle en courant ; the distributors ran out of the room 
élargissement;widening, letting-out, stretching, broadening; il n'y aura pas d'élargissement de la Communauté ; there will be no expansion of the Community
dégrader;to degrade, debase, damage, erode;la situation se dégrade depuis 1984;the situation has been worsening since 1984
colonial;colonial; la Suisse n'a pas de passé colonial ; Switzerland has no colonial history 
pourparler;talk, discussion, negotiation; on va bientôt participer à ces pourparlers ; we'll soon participate in these discussions 
incidence;effect, incidence; les catastrophes ont des incidences économiques importantes ; catastrophes cause important economic consequences
béton;concrete; les murs étaient en béton ; the walls were of cement 
fiable;reliable, trustworthy; elle est très fiable, croyez-moi ; she's very trustworthy, believe me 
génocide;genocide; il est également accusé de génocide ; he is also accused of genocide 
vingt-quatre;twenty four; Air France propose toujours vingt-quatre vols quotidiens ;Air France still offers 24 daily flights
épouvantable;terrible, appalling, dreadful; c'est un épouvantable malentendu ; it's a horrible misunderstanding 
indifférent;indifferent, unconcerned, unimportant; apparemment, je lui suis complètement indifférente ; apparently, I'm completely unimportant to him
audacieux;daring, audacious, bold; il est temps de prendre des décisions audacieuses ; it's time to make bold decisions 
poudre;powder; ta copine a besoin de sa poudre magique ; your girlfriend needs her magic powder 
teneur;content; il n'a révélé la teneur exacte de sa conversation ; he didn't reveal the exact content of his conversation
inverser;to reverse, invert; l'infirmière s'est trompée. elle a tout inversé ; the nurse was wrong. she got everything backwards
naval;naval; les chantiers navals fonctionnaient à plein rendement ; the naval shipyards were operating at full capacity
dérive;drift; j'imagine mal cependant des dérives extrémistes ; I have a hard time imagining extremist tendencies
mécontent;discontented, dissatisfied, displeased; je regrette que vous soyez mécontent mais je ne puis rien y faire ; I'm sorry you're displeased but I can no longer do anything about it
vocabulaire;vocabulary; ce n'est pas dans mon vocabulaire ; it's not in my vocabulary 
stabiliser;to stabilize; stabilisez vos déflecteurs arrière ; tighten your rear deflectors 
délégué;delegate;les délégués de 190 pays se sont retrouvés samedi;delegates from 190 countries met Saturday
centrer;to center; je centrerai mon intervention sur quatre points précis ; I will center my talk on four specific points
algérien;Algerian; je ne suis ni français ni algérien ; I'm neither French nor Algerian 
sympathique;likeable, nice, pleasant; je vous trouve incroyablement sympathiques ; I find you incredibly likable 
alentour;around, round about; il n'y avait personne aux alentours immédiats ; there was nobody in the immediate vicinity 
corrompre;to corrupt, bribe; le régime actuel me semble absolument corrompu ; the current regime seems absolutely corrupt to me
commerçant;shopkeeper, merchant, commercial; c'était plein de petits commerçants, d'artisans ; it was full of shopkeepers, artisans 
poitrine;chest, breast, breasts, bosom; ils avaient mal dans la poitrine, aux oreilles et à la tête ; they had sore chests, ears, and heads 
couronner;to crown, award; ces rencontres ont vraiment été couronnées de succès ; these meetings were crowned with success
relire;to reread, proofread; il relisait, corrigeait et reprenait le travail du jour ; he reread, corrected, and reviewed the day's work
perpétuer;to perpetuate, carry on; ces traditions se perpétuent au Moyen Âge ; these traditions continue through in the Middle Ages
doctrine;doctrine; il a enseigné des doctrines trompeuses et répugnantes ; he taught deceitful and loathsome doctrine
compétitif;competitive; l'industrie automobile européenne peut être compétitive ; the European auto industry can be competitive
majesté;majesty; sa majesté le roi a été salué à son départ ; his majesty the king was saluted on his departure 
mouton;sheep; les moutons commençaient à se désintéresser de moi ; the sheep stopped showing interest in me
indifférence;indifference; je dois subir avec indifférence les conséquences ; I must suffer the consequences unflinchingly
omettre;to leave out, miss out, omit; je n'y omettrai rien ; I won't leave anything out 
typique;typical; c'est typique. cela ne m'étonne pas ; it's typical. that doesn't surprise me 
concurrentiel;competitive; divers éléments nous procurent cet avantage concurrentiel ; many factors bring us this competitive advantage
désarmement;disarmament, disarming; j'ai besoin des codes de désarmement ; I need the deactivation codes 
quotidiennement;daily, every day; les gangs font la manchette presque quotidiennement ; gangs make the headlines almost every day
architecture;architecture; l'architecture doit beaucoup aux Arabes ; architecture owes much to the Arabs 
éventualité;eventuality, possibility; je suis prêt à toute éventualité ; I'm ready for any eventuality 
massacrer;to slaughter, massacre; ils massacraient des indigènes ; they massacred some natives 
réciproque;mutual, reciprocal, the opposite; j'ai proposé des retraits réciproques dans tous les arrondissements ; I proposed a mutual withdrawal in all of the neighborhoods
état-major;staff, staff headquarters; l'état-major entendait écraser la résistance tchétchène ; headquarters intended to crush the Chechen resistance
attarder;to linger; je m'attardais longtemps à ma fenêtre ; I lingered a long while at my window 
englober;to include, encompass, incorporate; mon goût englobe les escargots et les huîtres ; my tastes incorporate escargots and oysters 
grossir;to get larger; son ventre grossissait ; her stomach got larger 
séparatiste;separatist; cette démarche pourrait désamorcer les visées séparatistes ; this approach could defuse separatist aims
surcroît;extra, additional; la motivation financière venait de surcroît ; financial motivation appeared excessive 
sortant;outgoing; l'administration américaine sortante se révélant incapable de négocier ; the outgoing American administration proved incapable of negotiation
plomb;lead; le plomb ordinaire serait trop lourd pour le véhicule ; ordinary lead would be too heavy for the vehicle
gorge;throat; elle porte la main à sa gorge ; she brings her hand to her throat 
nationaliste;nationalist; qu'est-ce qu'on veut comme nationalistes? ; what do we nationalists want? 
exportateur;exportateur, exporting; tous les pays exportateurs profitent de la situation ; all exporting countries are benefiting from the situation
montre;watch; c'est une vraie course contre la montre ; is a real race against time 
ratifier;to ratify; le texte doit désormais être ratifié ; the text must henceforth be ratified 
exploit;exploit; peu de grands exploits s'accomplissent seuls ; few great exploits are accomplished by oneself 
encourageant;encouraging; la situation ne semble guère encourageante ; the situation seems hardly encouraging 
climatique;climatic; les gens parlent du changement climatique, du réchauffement de la planète ; people talk of climate change, of global warming
aviser;to notice, advise; tu aurais dû nous en aviser ; you should have told us about it 
épidémie;epidemic; l'épidémie de SIDA en Afrique est au pire ; the AIDS epidemic in Africa is the worst 
alarme;alarm; que se passe-t-il? l'alarme s'est déclenchée ; what's happening? the alarm just went off 
parier;to bet; j'espère que tu n'as pas parié beaucoup ; I hope you didn't bet a lot 
écologique;ecological; je crois en la conscience écologique des Français ; I believe in the ecological conscience of the French
lunette;telescope, glasses; portez-vous des lunettes ou verres de contact? ; do you wear glasses or contact lenses? 
entourage;circle, entourage; mon entourage m'encourage à profiter de la vie ; my circle of friends encourages me to take advantage of life
sphère;sphere; on quittait les sphères du sacré pour entrer dans la politique ; we left more sacred spheres to go into politics
confidentiel;confidential; soyez attentif, ce message est confidentiel ; be careful, this message is confidential 
sanctionner;to sanction, punish, approve; la décision a été sanctionnée par le secrétaire général des Nations Unies ; the decision was endorsed by the Secretary General of the United Nations
recrutement;recruiting, recruitment; j'ai déclaré un gel du recrutement ; I declared a hiring freeze 
détendre;to release, slacken, loosen, relax; entrez, détendez-vous. prenez un verre de champagne ; come in, relax. have a glass of champagne
aisé;easy, well off, well-to-do; beaucoup venaient de familles aisées ; many came from well-to-do families 
toilette;washing, toilet, lavatory, bathroom, restroom; excusez-moi, je cherchais les toilettes ; excuse me, I was looking for the restrooms 
autobus;bus; je préférais l'autobus au métro ; I preferred the bus to the subway 
défavoriser;to put at a disadvantage; il avait à cœur le sort des défavorisés ; he dwelled on the lot of the underprivileged 
résistant;robust, sturdy, resistance fighter; les bactéries résistantes disparaissent en quelques jours ; resistant bacteria will disappear in a few days
admiration;admiration; j'ai de l'admiration pour cet homme ; I have admiration for this man 
acide;acid; j'ai dissous le sang à l'acide ; I dissolved the blood with acid 
banal;banal, trite, commonplace, ordinary; la situation est devenue presque banale ; the situation has almost become commonplace 
poulet;chicken; il y a du poulet dans le frigo ; there's some chicken in the fridge 
pêcher;"to fish, go fishing; peach tree"; on pêchera des tonnes de crevettes! ; we'll go fishing and catch tons of shrimps! 
brigade;team, squad, brigade; une brigade de policiers a réussi à rattraper les chiens ; the squad of policemen succeeded in catching the dogs
trembler;to shiver, tremble, shake, flicker; il sourit toujours, ses joues tremblent ; he always smiles, cheeks trembling 
reçu;receipt, accepted; il ne voulait pas me faire un reçu ; he didn't want to give me a receipt 
civiliser;to civilze; ce sont des nations civilisées ; these are civilized nations 
relance;boost, reminder, recovery; la relance économique commence à se faire sentir ; the economic recovery is starting to be felt
dose;dose, amount; vous avez mal calculé la dose ; you miscalculated the dose 
loyer;rent; je n'ai pas payé le loyer du mois prochain ; I haven't paid next month's rent 
distorsion;distortion; la distorsion peut réduire la durée de cet intervalle ; the distortion can reduce the duration of that interval
octroyer;to grant, bestow; on continue à octroyer des brevets pour des séquences ; we continue to grant patents for sequences
arrivant;arrival, comer; il y a un nouvel arrivant dans le jeu ; there's a newcomer in the game 
standard;standard, switchboard; vos cartes sont de type standard? ; your cards are the standard type? 
taxi;taxi; je vais rentrer en taxi ; I'm going to take a taxi home 
limitation;limitation, restriction, limit; il y a des limitations d'âge ; there are age limitations 
irréversible;irreversible; beaucoup de processus sont probablement déjà irréversibles ; many processes are probably already irreversible
fatal;fatal, deadly, fateful; une maladie du foie fatale ; a fatal liver disease 
furieux;furious, raging, violent; il est furieux contre moi ; he's furious with me 
verbal;verbal; on ne parle que de beauté verbale ; we only speak of verbal beauty 
contacter;to contact, get in touch with; comment puis-je vous contacter? ; how can I contact you? 
commissariat;police station; le commissariat local a été chargé de l'enquête ; the local police station was given charge of the investigation
gai;cheerful, merry, gay; nous étions si beaux, si gais ; we were so beautiful, so cheerful 
confrontation;confrontation; comprendre n'est possible qu'après la confrontation ; understanding is only possible after confrontation
chier;to sh!t, piss off, get pissed off; elle pissait et chiait partout ; she pissed and crapped everywhere 
atlantique;Atlantic; j'habite dans le Canada atlantique ; I live in Atlantic Canada 
rude;rough, harsh, hard, tough; l'hiver fut rude. il fut malade deux fois ; the winter was severe. he was sick twice 
panneau;sign, notice, panel; ils ont fini d'installer les gigantesques panneaux solaires ; they finished installing giant solar panels
appréciation;appreciation, assessment, appraisal; les courses à ski exigent une appréciation réfléchie du terrain ; ski races require thoughtful assessment of the terrain
réflexe;reflex; j'ai gardé des réflexes comme me laver à l'eau froide ; I kept old habits like washing in cold water
complément;complement; c'était un complément qui lui permettait de vivre ; it was supplementary information that allowed her to live
initialement;initially; initialement, cette opération devait être amicale ; at first, this operation was supposed to be friendly
comédien;comedian, comedy; j'ai pensé au métier de comédien ; I thought about the comedian's craft 
successeur;successor; mon successeur sera comme un lion furieux ; my successor will be like a ferocious lion 
méfiance;distrust, mistrust, suspicion; il refusait les médicaments toujours par méfiance ; he always refused the medication because of distrust
replier;to fold, roll up, fold up, withdraw; je repliai la lettre ; I folded up the letter 
vérificateur;checker, inspector, auditor; le vérificateur général a lui-même porté ce jugement ; the auditor general himself made this evaluation
dictateur;dictator; comment négocier avec un dictateur pareil? ; how can you negotiate with a dictator like that? 
prétention;claim; toute prétention contraire n'est absolument pas fondée ; all claims to the contrary are absolutely unfounded
rédacteur;editor, writer, drafter, compiler; j'ai d'abord été journaliste rédacteur pour la presse ; first I was an editorial journalist for the press
avaler;to swallow; il a avalé un peu trop d'eau ; he swallowed a little too much water 
extraction;extraction; ce projet d'extraction minière constitue une agréable occasion de développement ; this mineral extraction project constitutes a nice development opportunity
banquier;banker; tu feras confiance à un banquier des Bahamas? ; you would trust a banker from the Bahamas?
titulaire;holder, with tenure, occupant; oui, vous êtes le titulaire ; yes, you're the incumbent 
stabilisation;stabilisation; la stabilisation du fonds est primordiale ; stabilizing the funds is all-important 
mutuellement;mutually, one another; ils se sont traités mutuellement de criminels de guerre ; they treated each other like wartime criminals
légion;legion; la légion remplit vaillamment sa mission ; the legion valiantly fulfilled its mission 
lacune;gap, deficiency; il y a une lacune énorme dans la formation ; there's a huge gap in training 
engin;machine, tool, vehicle, device; l'engin était dissimulé dans une poubelle et a explosé ; the device was concealed in a trash can and exploded
mépriser;to scorn, look down, spurn, disdain; il méprise l'art et les musées ; he disdains art and museums 
minoritaire;minority; ces gens appartiennent à un groupe minoritaire ; these people belong to a minority group 
idéologique;ideological; il faut cesser ce discours idéologique ; this ideological discussion must cease 
cloche;bell; on ententit sonner la cloche de l'église ; we heard the church bells chiming 
compatriote;compatriot; comme beaucoup de mes compatriotes, j'ai eu l'occasion de voyager ; like many of my compatriots, I had the chance to travel
affection;affection, ailment; l'affection grandit par l'épreuve ; affection grows through difficulties 
sel;salt; il devait faire un régime sans sel ; he had to go on a no-salt diet 
majoritaire;majority; la France utilise le système majoritaire dans ses élections nationales ; France uses the majority system in national elections
redressement;straightening up, upturn, righting; le redressement d'Air France est un impératif ; straightening out Air France is an urgent necessity
paradoxe;paradox; nous sommes toujours en présence du paradoxe de la transgression divine ; we're all a part of the paradox of divine transgression
chiffrer;to put a figure to, assess, quantify, number; tout ça est chiffré à chaque fois par les ministères ; all of this is quantified each time by the ministers
catastrophique;catastrophic, disastrous; on a hérité d'une situation catastrophique ; we inherited a catastrophic situation 
magistrat;magistrate, judge; son père était un magistrat de la cour d'assises ; his father was a judge in the assize court 
extrait;extract, excerpt; ce qui suit est un extrait du rapport ; what follows is an excerpt from the report 
amant;lover; elle était folle de son amant ; she was crazy about her lover 
farce;joke, prank, hoax, farce; c'est une vraie farce et c'est honteux ; it's a real hoax and it's shameful 
compétitivité;competitiveness; nous avons décidé d'accroître la compétitivité et l'efficacité de nos industries ; we decided to increase the competitiveness and the efficiency of our industries
enthousiaste;enthusiastic; ils m'ont accordé un appui enthousiaste ; they gave me enthusiastic support 
quarantaine;about forty; une quarantaine de filles nous attendaient à la sortie ; some forty girls were waiting for us at the exit
sous-sol;basement, lower ground floor, subsoil, underground; il utilisait les parkings en sous-sol ; he used underground parking lots 
rat;rat; il y a un rat dans la cuisine ; there's a rat in the kitchen 
flot;floodtide, stream of, flood of; un flot ininterrompu de mots et de larmes ; an uninterrupted flow of words and tears 
mordre;to bite, overlap into; on allait le tuer pour avoir mordu un garde ; it was going to be killed for having bitten a guard
partiellement;partly; le ciel était partiellement dégagé ; the skies were partly cloudy 
radioactif;radioactive; les particules radioactives tombent avec les gouttes de pluie ; radioactive particles fall with raindrops
passe;pass, channel; puis-je utiliser mon passe? ; can I use my pass? 
indépendamment;independently, irrespective of, regardless of; chaque paquet est traité indépendamment ; each package is processed individually 
location;renting; c'est un meublé mis en location pour quelques mois ; it's a furnished apartment being rented out for a few months
naïf;naïve, innocent; elle reste extrêmement naïve sur le sujet ; she remains extremely naïve on the topic 
retraité;retired; les retraités ne peuvent dépenser l'argent ; retired people can't spend money 
innocence;innocence; vous êtes d'une innocence extrême ; you're extremely innocent 
bijou;jewel; j'aime bien les bijoux anciens ; I like old jewelry 
messe;mass; les dimanches, j'allais à la messe ; on Sundays I used to go to mass 
coïncidence;coincidence; est-ce là une coïncidence? ; is that a coincidence? 
torture;torture; j'ai raconté les tortures, les coups, les viols ; I told them about the torture, the blows, the rapes
protecteur;protective, protector, guardian; sa mère était sa protectrice morale, physique et même matérielle ; his mother was his moral, physical, and even material protector
rayonnement;radiance; le danger des rayonnements pour l' homme est réel ; radiation danger for humans is real 
récolte;harvest, crop; les récoltes de certains agriculteurs sont gelées ; some farmers' crops are frozen 
valise;suitcase; dépêche-toi de faire les valises ; hurry up and pack your suitcases 
danseur;dancer; quand elle était jeune, elle était danseuse ; when she was young, she was a dancer 
expertise;expertise; il y a également beaucoup d'expertise ; there is also much expertise 
minier;mining; les dépenses de prospection minière ont augmenté ; costs for mining exploration have risen 
vitrine;window, display cabinet; la marchandise est en vitrine ; the goods are in the display window 
ébranler;to shake, rattle; le train s'ébranla de nouveau ; the train shook once more 
crâne;skull; son crâne est à moitié couvert par ce bonnet noir ; his skull is half covered by this black bonnet
anéantir;to annihilate, wipe out, ruin, vanish; vous êtes venus ici pour m'anéantir ; you came here to annihilate me 
vocal;vocal; empreinte vocale inconnue ; unknown voiceprint 
unilatéral;unilateral; c'est un plan de désengagement unilatéral ; it's a plan for unilateral withdrawal 
combustible;fuel, combustible; les importations de carburants et de combustibles liquides ont reculé ; imports of gas and liquid fuels retreated
économiser;to save, save on, conserve; cela permettrait d'économiser beaucoup d'argent ; that would help save lots of money 
tisser;to weave; elle tisse des sacs en soie ; she weaves silk pouches 
poule;hen, chick; je ne suis pas ta poule, ok! ; I'm not your chick, OK! 
punition;punishment; la mort ne doit pas être une punition ; death should not be a punishment 
hésitation;hesitation; je n'ai aucune hésitation à lui parler ; I don't have any qualms about talking to him 
rentable;profitable; cette activité a été rapidement rentable ; this activity quickly became profitable 
loyal;loyal, faithful; tu as toujours été un ami loyal ; you were always a loyal friend 
renfort;help, back-up, support; encore quelques minutes. les renforts arrivent ; a few more minutes. the reinforcements are arriving
cohérence;coherence, consistency; il faut assurer une cohérence entre les objectifs et les actions ; there must be consistency between the goals and the actions
souris;mouse; le chat mange la souris ; the cat eats the mouse 
bombarder;to bomb; l'aviation gouvernementale bombarde deux villes contrôlées par les rebelles ; the government air forces are bombing two cities controlled by the rebels
éveiller;to arouse, stimulate, awaken; la nuit, je restais éveillée dans mon lit ; during the night I remained awake in my bed 
semestre;semester, six-month period; ils faisaient un semestre d'intégration ; they did six months on-the-job training 
croyant;believer; que le croyant vive sa foi ; may the believer live his faith 
réalisateur;director; quand le réalisateur dit «écoutez», vous écoutez ;" when the director says ""listen"", you listen "
brutalement;brutally; elle referma brutalement la porte ; she slammed the door shut 
lourdement;heavily; il m'examina lourdement de la tête aux pieds ; he gave me a thorough inspection from head to foot
tente;tent; Fabrice et moi partagions la même tente ; Fabrice and I were sharing the same tent 
goutte;drop; tu transpirais à grosses gouttes ; you were sweating great drops 
poussée;push, rise, upsurge; une petite poussée dans n'importe quelle direction suffira ; a little push in any direction will be enough
moine;monk, friar; il vit modestement, comme un moine ; he lives modestly, like a monk 
modéré;moderate, restrained, reasonable; j'espère que vous êtes modéré dans vos habitudes ; I hope you are steady in your habits 
négligeable;negligible, trivial; ça donne une force de frappe non négligeable ; it gives a strike force to be reckoned with 
vice;fault, defect, vice; ce vice mineur me reste, la familiarité ; I still have one minor vice: being too familiar 
symboliser;to symbolize; le papillon symbolisait l'âme ; the butterfly was symbolic of the soul 
substituer;to substitute; les insultes ne sauraient se substituer ; the insults can't be smoothed over 
subtil;subtle, nice; il faut les coincer de façon subtile ; wedge them together carefully 
commandant;commander; il s'est autoproclamé commandant en chef de l'organisation ; he named himself chief of the organization
chuter;to fall; la tempête m'a fait chuter ; the storm made me fall 
fidélité;loyalty, faithfulness, accuracy, reliability; je tiens absolument à la fidélité ; I absolutely value loyalty 
basculer;to topple, fall over, knock off; je crus que la terre avait basculé sous mes pieds ; I thought the earth moved under my feet 
gestionnaire;administrator, administrative; je serai le gestionnaire assigné au dossier ; I will be the administrator assigned to the case 
redoutable;fearsome, formidable; tu as été notre plus redoutable ennemi ; you were our most formidable enemy 
immigrant;immigrant; nous avons aidé de nouveaux immigrants à s'établir ; we helped new immigrants to get settled
polémique;controversial, controversy; c'est vrai que j'aime la polémique, le débat d'idées ; it's true that I like controversy, debating ideas
alourdir;to weigh down, make heavy; je sens mes doigts s'alourdir ; I feel my fingers getting heavier 
avancée;advanced, overhung; reculez. vous empêchez notre avancée ; step back. you're blocking our way 
sévir;to act ruthlessly, be rife; la violence qui sévit dans ce pays nous inquiète aussi beaucoup ; the violence that is tearing this country apart also troubles us greatly
jumeau;twin; les jumeaux ont besoin l'un de l'autre ; the twins need each other 
piéger;to trap, booby-trap; il a été hyper facile à piéger ; it was super-easy to trap him 
confiant;trusting, confident; vous êtes malgré tout confiant? ; you're confident in spite of it all? 
pendre;to hang down; ses immenses cheveux blonds pendaient jusqu' à terre ; her extremely thick blond hair hung right down to the ground
intact;intact; elle le retrouvait intact dans cet hiver nocturne ; she found it intact in this dark winter 
rapidité;speed, quickness; je ne travaille pas avec la rapidité d'autrefois ; I don't work as quickly as I used to 
localité;town, village; ce sont toutes des petites localités ; they are all small localities 
récupération;recovery, retrieval, salvage; vous aurez besoin d'une récupération lente et salutaire ; you will need a slow and wholesome recovery
vigoureux;vigorous; ces territoires suscitent une vigoureuse contrebande ; these territories support a vibrant black market
rentabilité;profitability; la rentabilité n'a cessé de décroître ; profitability didn't stop decreasing 
delà;beyond, above, over; mais je n'irai pas au delà ; but I won't go any farther than that 
incliner;to tilt, tend towards; incline-toi devant moi ; bow before me 
affreux;dreadful, awful, horrible; j'ai fait un cauchemar affreux ; I had a horrible nightmare 
révolter;to revolt, rebel, outrage; ils se révolteront avec colère, une colère implacable ; they will rebel with anger, an implacable anger
conte;tale; je vis un rêve, un conte de fées, un miracle ; I lived a dream, a fairy tale, a miracle 
évasion;escape, evasion; il lui parla longuement de l'évasion ; he spoke to her at length about the escape 
repère;reference, benchmark, landmark; les chrétiens ont besoin de repères, sinon ils sont perdus ; Christians need reference points, otherwise they're lost
philosophique;philosophical; son travail philosophique porte sur la responsabilité ; his philosophical work focuses on responsability
arrivé;arrived; des tas de choses étaient arrivées ; many things happened 
ironie;irony; son ironie me fit souffrir mille morts ; the irony of it killed me a thousand times over 
serveur;waiter, server; je ne suis pas une serveuse de bar ; I'm not a barmaid 
bannir;to banish, ban; la religion est bannie de chez nous ; religion is banished from our house 
insuffisance;inadequacy, insufficiency; nous voulons corriger les insuffisances actuelles ; we want to correct current inadequacies 
librairie;bookstore, bookshop; les prix, dans cette librairie, sont très compétitifs ; the prices in this bookstore are very competitive
parenthèse;parenthesis, bracket, aside; je dirais en parenthèses que l'histoire présente est opaque ; I would add parenthetically that this story is opaque
miser;to bet, stake; si vous allez miser pour moi...alors on sera quittes ; if you're going to bet for me...then we'll be even
stupéfiant;"drug, narcotic; stunning, astounding"; on servit un repas stupéfiant ; we served a stunning meal 
boursier;"grant-holder, scholarship holder; stock";en un an, sa valeur boursière a été divisée par 350;in one year, its stock value sunk to 1/350 of its value
levée;raising, levying, levee; la Commission européenne a voté la levée de cet embargo ; the European Commission voted to lift this embargo
déformer;to bend, distort, deform; ils ont déformé les faits ; they have distorted the facts 
menaçant;threatening, menacing; elle le chasse en le menaçant avec un couteau ; she chased him brandishing a knife 
nord-est;north-east; le nord-est des Etats-Unis frappé par les pluies verglaçantes ; northeastern U.S. hit by freezing rains
substitution;substitution, mix-up; il y a la substitution du dialogue homme/machine au dialogue homme/femme ; there is a substitution of man/machine dialog for man/woman dialogue
parer;"to adorn, put on; to ward off, parry"; parez les équipements de sauvetage ; put on the lifesaving equipment 
avantageux;profitable, worthwhile, advantageous, attractive; les prix étaient plus avantageux ; the prices were more attractive 
handicaper;to handicap; la croissance mondiale risque d'handicaper leurs exportations ; worldwide growth threatens to handicap their exports
filmer;to film, shoot; c'était filmé pour la télé ; it was filmed for TV 
délinquant;delinquent, offender; nous avons réclamé un registre des délinquants sexuels ; we have called for a sexual offenders registry
perdant;losing, loser; je suis le plus grand perdant ; I'm the greatest loser 
altitude;altitude, height; il a plu à basse altitude ; it was raining at lower altitudes 
imputer;to impute to, attribute to; il est facile d'imputer aux autres sa propre mauvaise volonté ; it's easy to blame others for one's own ill will
plaisanter;to joke; du calme, je plaisante ; take it easy, I'm joking 
poétique;poetic, poetical, poetics; le français est un langage poétique ; French is a poetic language 
desservir;to clear, go against, harm, serve; nous ne desservons pas adéquatement les auditeurs ; we don't adequately serve our listening audience
